id,manufacturer,model,max_seats,max_weight,max_distance,engine_type
1,Boeing,737-800,189,79015,2935,CFM56-7B
2,Boeing,777-300ER,396,351535,7930,GE90-115B
3,Boeing,787-9,296,254000,7635,GEnx-1B
4,Airbus,A320neo,194,79000,3700,CFM LEAP-1A
5,Airbus,A350-900,440,280000,8100,Rolls-Royce Trent XWB
6,Airbus,A380-800,853,560000,8000,Rolls-Royce Trent 900
7,Embraer,E190-E2,114,56600,3250,PW1900G
8,Embraer,E175,88,37500,2200,CF34-8E
9,Embraer,E195-E2,146,61700,2600,PW1900G
10,Bombardier,CRJ900,90,38530,1554,CF34-8C5
11,Bombardier,Q400,90,29257,1567,PW150A
12,Cessna,Citation X+,12,16555,3516,AE3007C2
13,Cessna,Citation Latitude,9,13605,2700,PW306D1
14,Gulfstream,G650,19,45360,7500,BR725
15,Gulfstream,G550,19,41300,6750,BR710
16,Dassault,Falcon 7X,19,31750,5950,PW307A
17,Dassault,Falcon 2000LXS,10,19105,4000,PW308C
18,Mitsubishi,SpaceJet M90,92,39000,2030,PW1200G
19,COMAC,C919,174,72500,2555,CFM LEAP-1C
